/home/ostrich/anaconda3/envs/my_master/lib/python3.9/site-packages/torch/utils/checkpoint.py:429: UserWarning: torch.utils.checkpoint: please pass in use_reentrant=True or use_reentrant=False explicitly. The default value of use_reentrant will be updated to be False in the future. To maintain current behavior, pass use_reentrant=True. It is recommended that you use use_reentrant=False. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
Could not estimate the number of tokens of the input, floating-point operations will not be computed
{'loss': 0.6907, 'learning_rate': 5.000000000000001e-07, 'rewards/chosen': 0.00278968783095479, 'rewards/rejected': -0.0024118423461914062, 'rewards/accuracies': 0.5, 'rewards/margins': 0.005201529711484909, 'logps/rejected': -290.07196044921875, 'logps/chosen': -201.966064453125, 'logits/rejected': 0.7632055878639221, 'logits/chosen': 0.8970862030982971, 'epoch': 0.0}
{'loss': 0.6857, 'learning_rate': 9.5e-06, 'rewards/chosen': 0.0010437015444040298, 'rewards/rejected': -0.014550972729921341, 'rewards/accuracies': 0.625, 'rewards/margins': 0.01559467427432537, 'logps/rejected': -225.4588623046875, 'logps/chosen': -359.5647277832031, 'logits/rejected': 0.8147011995315552, 'logits/chosen': 1.010742425918579, 'epoch': 0.01}
{'loss': 0.6967, 'learning_rate': 1e-05, 'rewards/chosen': -0.004792189225554466, 'rewards/rejected': 0.001984023954719305, 'rewards/accuracies': 0.375, 'rewards/margins': -0.006776213645935059, 'logps/rejected': -197.3017578125, 'logps/chosen': -153.2432861328125, 'logits/rejected': 0.8439710736274719, 'logits/chosen': 1.001471757888794, 'epoch': 0.01}
{'loss': 0.6976, 'learning_rate': 1.05e-05, 'rewards/chosen': -0.00014715129509568214, 'rewards/rejected': 0.00854482688009739, 'rewards/accuracies': 0.375, 'rewards/margins': -0.008691977709531784, 'logps/rejected': -263.92205810546875, 'logps/chosen': -299.8275146484375, 'logits/rejected': 0.9856505990028381, 'logits/chosen': 1.206398844718933, 'epoch': 0.01}
{'loss': 0.6893, 'learning_rate': 1.1000000000000001e-05, 'rewards/chosen': 0.008641457185149193, 'rewards/rejected': 0.0007642747368663549, 'rewards/accuracies': 0.5, 'rewards/margins': 0.007877183146774769, 'logps/rejected': -197.298095703125, 'logps/chosen': -351.2919616699219, 'logits/rejected': 0.7302088141441345, 'logits/chosen': 0.7440714836120605, 'epoch': 0.01}
{'loss': 0.6867, 'learning_rate': 1.1500000000000002e-05, 'rewards/chosen': 0.019803764298558235, 'rewards/rejected': 0.006219673436135054, 'rewards/accuracies': 0.5, 'rewards/margins': 0.013584090396761894, 'logps/rejected': -180.78990173339844, 'logps/chosen': -192.52706909179688, 'logits/rejected': 0.8879987597465515, 'logits/chosen': 0.9579410552978516, 'epoch': 0.01}
{'loss': 0.6752, 'learning_rate': 1.2e-05, 'rewards/chosen': 0.0163740161806345, 'rewards/rejected': -0.02022237703204155, 'rewards/accuracies': 0.875, 'rewards/margins': 0.0365963950753212, 'logps/rejected': -174.74485778808594, 'logps/chosen': -160.9317626953125, 'logits/rejected': 0.6881274580955505, 'logits/chosen': 0.7663723826408386, 'epoch': 0.01}
{'loss': 0.7055, 'learning_rate': 1.25e-05, 'rewards/chosen': -0.004598235711455345, 'rewards/rejected': 0.01925087347626686, 'rewards/accuracies': 0.375, 'rewards/margins': -0.023849107325077057, 'logps/rejected': -189.0618896484375, 'logps/chosen': -280.7037658691406, 'logits/rejected': 0.6999403238296509, 'logits/chosen': 0.7989150285720825, 'epoch': 0.02}
{'loss': 0.6992, 'learning_rate': 1.3000000000000001e-05, 'rewards/chosen': 0.003115224651992321, 'rewards/rejected': 0.015136337839066982, 'rewards/accuracies': 0.25, 'rewards/margins': -0.012021113187074661, 'logps/rejected': -171.10519409179688, 'logps/chosen': -126.17784881591797, 'logits/rejected': 0.8749586939811707, 'logits/chosen': 1.1234608888626099, 'epoch': 0.02}
{'loss': 0.6992, 'learning_rate': 1.3500000000000001e-05, 'rewards/chosen': -0.0031958818435668945, 'rewards/rejected': 0.0073771486058831215, 'rewards/accuracies': 0.5, 'rewards/margins': -0.010573029518127441, 'logps/rejected': -250.7224578857422, 'logps/chosen': -145.6759490966797, 'logits/rejected': 0.8995761275291443, 'logits/chosen': 0.9697975516319275, 'epoch': 0.02}
{'loss': 0.6959, 'learning_rate': 1.4000000000000001e-05, 'rewards/chosen': 0.0019923443906009197, 'rewards/rejected': 0.00699462927877903, 'rewards/accuracies': 0.25, 'rewards/margins': -0.00500228488817811, 'logps/rejected': -144.9972686767578, 'logps/chosen': -226.3007354736328, 'logits/rejected': 0.8934271335601807, 'logits/chosen': 0.8262274265289307, 'epoch': 0.02}
{'loss': 0.6768, 'learning_rate': 1.45e-05, 'rewards/chosen': 0.031221739947795868, 'rewards/rejected': -0.0028913032729178667, 'rewards/accuracies': 0.625, 'rewards/margins': 0.034113045781850815, 'logps/rejected': -230.37478637695312, 'logps/chosen': -301.9600830078125, 'logits/rejected': 0.7761790156364441, 'logits/chosen': 0.7878750562667847, 'epoch': 0.02}
{'loss': 0.6963, 'learning_rate': 1.5e-05, 'rewards/chosen': -0.013848449103534222, 'rewards/rejected': -0.007682420313358307, 'rewards/accuracies': 0.375, 'rewards/margins': -0.006166030187159777, 'logps/rejected': -250.4567413330078, 'logps/chosen': -243.7118377685547, 'logits/rejected': 0.7373499274253845, 'logits/chosen': 0.9725973010063171, 'epoch': 0.02}
{'loss': 0.6905, 'learning_rate': 1.55e-05, 'rewards/chosen': 0.00580439530313015, 'rewards/rejected': -0.0002734418958425522, 'rewards/accuracies': 0.5, 'rewards/margins': 0.006077837198972702, 'logps/rejected': -248.86740112304688, 'logps/chosen': -313.7032470703125, 'logits/rejected': 0.6234318614006042, 'logits/chosen': 1.0719197988510132, 'epoch': 0.02}
{'loss': 0.6892, 'learning_rate': 1.6000000000000003e-05, 'rewards/chosen': -0.009319055825471878, 'rewards/rejected': -0.017425157129764557, 'rewards/accuracies': 0.625, 'rewards/margins': 0.00810609944164753, 'logps/rejected': -289.60870361328125, 'logps/chosen': -234.0179443359375, 'logits/rejected': 0.90923672914505, 'logits/chosen': 0.9102510213851929, 'epoch': 0.02}
{'loss': 0.7025, 'learning_rate': 1.65e-05, 'rewards/chosen': -0.015712261199951172, 'rewards/rejected': 0.002768421545624733, 'rewards/accuracies': 0.375, 'rewards/margins': -0.018480682745575905, 'logps/rejected': -164.41664123535156, 'logps/chosen': -113.52472686767578, 'logits/rejected': 0.8551294803619385, 'logits/chosen': 0.9538087248802185, 'epoch': 0.02}
{'loss': 0.7073, 'learning_rate': 1.7000000000000003e-05, 'rewards/chosen': -0.023622894659638405, 'rewards/rejected': 0.0037843938916921616, 'rewards/accuracies': 0.5, 'rewards/margins': -0.027407288551330566, 'logps/rejected': -190.4628448486328, 'logps/chosen': -226.0873260498047, 'logits/rejected': 1.0643903017044067, 'logits/chosen': 0.997366189956665, 'epoch': 0.02}
{'loss': 0.6818, 'learning_rate': 1.75e-05, 'rewards/chosen': 0.008180809207260609, 'rewards/rejected': -0.014969205483794212, 'rewards/accuracies': 0.625, 'rewards/margins': 0.023150013759732246, 'logps/rejected': -289.35107421875, 'logps/chosen': -276.9935302734375, 'logits/rejected': 0.7167508602142334, 'logits/chosen': 1.0136997699737549, 'epoch': 0.02}
{'loss': 0.6924, 'learning_rate': 1.8e-05, 'rewards/chosen': -0.00873007532209158, 'rewards/rejected': -0.011105729267001152, 'rewards/accuracies': 0.625, 'rewards/margins': 0.0023756492882966995, 'logps/rejected': -211.38442993164062, 'logps/chosen': -207.0924835205078, 'logits/rejected': 0.8239739537239075, 'logits/chosen': 0.937589704990387, 'epoch': 0.02}
{'loss': 0.7022, 'learning_rate': 1.85e-05, 'rewards/chosen': -0.007562090177088976, 'rewards/rejected': 0.009409426711499691, 'rewards/accuracies': 0.375, 'rewards/margins': -0.016971515491604805, 'logps/rejected': -304.9031982421875, 'logps/chosen': -354.05853271484375, 'logits/rejected': 0.5825865268707275, 'logits/chosen': 0.9889082312583923, 'epoch': 0.02}
{'loss': 0.684, 'learning_rate': 1.9e-05, 'rewards/chosen': 0.001177287194877863, 'rewards/rejected': -0.017656326293945312, 'rewards/accuracies': 0.625, 'rewards/margins': 0.018833613023161888, 'logps/rejected': -159.87158203125, 'logps/chosen': -92.18951416015625, 'logits/rejected': 0.676165759563446, 'logits/chosen': 0.7356730699539185, 'epoch': 0.02}
{'loss': 0.6859, 'learning_rate': 1.9500000000000003e-05, 'rewards/chosen': -0.016835665330290794, 'rewards/rejected': -0.03233328089118004, 'rewards/accuracies': 0.625, 'rewards/margins': 0.01549761462956667, 'logps/rejected': -261.6966857910156, 'logps/chosen': -296.5052185058594, 'logits/rejected': 0.7057448029518127, 'logits/chosen': 0.8061454892158508, 'epoch': 0.02}
{'loss': 0.6886, 'learning_rate': 2e-05, 'rewards/chosen': 0.0006093266420066357, 'rewards/rejected': -0.00914604589343071, 'rewards/accuracies': 0.5, 'rewards/margins': 0.009755373001098633, 'logps/rejected': -118.91773223876953, 'logps/chosen': -123.8759536743164, 'logits/rejected': 0.8448760509490967, 'logits/chosen': 0.9111856818199158, 'epoch': 0.02}
{'loss': 0.7001, 'learning_rate': 2.05e-05, 'rewards/chosen': -0.012933827936649323, 'rewards/rejected': 0.0007942195516079664, 'rewards/accuracies': 0.125, 'rewards/margins': -0.013728045858442783, 'logps/rejected': -166.2145538330078, 'logps/chosen': -263.06671142578125, 'logits/rejected': 0.7401359677314758, 'logits/chosen': 0.6260406374931335, 'epoch': 0.03}
{'loss': 0.6999, 'learning_rate': 2.1e-05, 'rewards/chosen': -0.0038433547597378492, 'rewards/rejected': 0.00919256266206503, 'rewards/accuracies': 0.375, 'rewards/margins': -0.013035916723310947, 'logps/rejected': -168.3915557861328, 'logps/chosen': -212.13633728027344, 'logits/rejected': 1.0586069822311401, 'logits/chosen': 1.1035270690917969, 'epoch': 0.03}
{'loss': 0.6919, 'learning_rate': 2.15e-05, 'rewards/chosen': 0.006844997406005859, 'rewards/rejected': 0.004081747494637966, 'rewards/accuracies': 0.75, 'rewards/margins': 0.002763249445706606, 'logps/rejected': -139.7509765625, 'logps/chosen': -200.85638427734375, 'logits/rejected': 0.7732663154602051, 'logits/chosen': 0.8902260065078735, 'epoch': 0.03}
{'loss': 0.7006, 'learning_rate': 2.2000000000000003e-05, 'rewards/chosen': -0.008568751625716686, 'rewards/rejected': 0.006152879912406206, 'rewards/accuracies': 0.25, 'rewards/margins': -0.01472163200378418, 'logps/rejected': -176.48011779785156, 'logps/chosen': -96.52582550048828, 'logits/rejected': 0.8734627366065979, 'logits/chosen': 0.9452399015426636, 'epoch': 0.03}
{'loss': 0.6882, 'learning_rate': 2.25e-05, 'rewards/chosen': -0.008631110191345215, 'rewards/rejected': -0.0191588643938303, 'rewards/accuracies': 0.75, 'rewards/margins': 0.010527754202485085, 'logps/rejected': -213.72454833984375, 'logps/chosen': -226.33836364746094, 'logits/rejected': 0.7841067910194397, 'logits/chosen': 0.9231534004211426, 'epoch': 0.03}
{'loss': 0.6969, 'learning_rate': 2.3000000000000003e-05, 'rewards/chosen': -0.0015442611183971167, 'rewards/rejected': 0.005818557925522327, 'rewards/accuracies': 0.5, 'rewards/margins': -0.0073628188110888, 'logps/rejected': -262.55328369140625, 'logps/chosen': -241.40740966796875, 'logits/rejected': 0.7442833185195923, 'logits/chosen': 0.8188940286636353, 'epoch': 0.03}
{'loss': 0.6892, 'learning_rate': 2.35e-05, 'rewards/chosen': -0.005722271744161844, 'rewards/rejected': -0.014005471020936966, 'rewards/accuracies': 0.625, 'rewards/margins': 0.008283196948468685, 'logps/rejected': -222.94178771972656, 'logps/chosen': -305.8001708984375, 'logits/rejected': 0.6726128458976746, 'logits/chosen': 0.894835352897644, 'epoch': 0.03}
{'loss': 0.7131, 'learning_rate': 2.4e-05, 'rewards/chosen': -0.013421094045042992, 'rewards/rejected': 0.025658465921878815, 'rewards/accuracies': 0.25, 'rewards/margins': -0.039079561829566956, 'logps/rejected': -273.3172912597656, 'logps/chosen': -243.2421112060547, 'logits/rejected': 0.6501966714859009, 'logits/chosen': 1.0233981609344482, 'epoch': 0.03}
{'loss': 0.6912, 'learning_rate': 2.45e-05, 'rewards/chosen': -0.014750434085726738, 'rewards/rejected': -0.019455313682556152, 'rewards/accuracies': 0.375, 'rewards/margins': 0.004704879596829414, 'logps/rejected': -197.51332092285156, 'logps/chosen': -191.95941162109375, 'logits/rejected': 1.0806264877319336, 'logits/chosen': 1.033617377281189, 'epoch': 0.03}
{'loss': 0.6886, 'learning_rate': 2.5e-05, 'rewards/chosen': 0.0034188986755907536, 'rewards/rejected': -0.005861950106918812, 'rewards/accuracies': 0.625, 'rewards/margins': 0.009280848316848278, 'logps/rejected': -162.24652099609375, 'logps/chosen': -113.17918395996094, 'logits/rejected': 0.8241395950317383, 'logits/chosen': 0.9691528677940369, 'epoch': 0.03}
{'loss': 0.6826, 'learning_rate': 2.5500000000000003e-05, 'rewards/chosen': -0.0014783148653805256, 'rewards/rejected': -0.023153021931648254, 'rewards/accuracies': 0.625, 'rewards/margins': 0.021674705669283867, 'logps/rejected': -232.43017578125, 'logps/chosen': -133.40443420410156, 'logits/rejected': 0.9642807245254517, 'logits/chosen': 1.0670592784881592, 'epoch': 0.03}
{'loss': 0.6766, 'learning_rate': 2.6000000000000002e-05, 'rewards/chosen': 0.004704308696091175, 'rewards/rejected': -0.02967105060815811, 'rewards/accuracies': 0.625, 'rewards/margins': 0.03437535837292671, 'logps/rejected': -192.9149932861328, 'logps/chosen': -285.5247802734375, 'logits/rejected': 0.6981698274612427, 'logits/chosen': 0.668003261089325, 'epoch': 0.03}
{'loss': 0.6983, 'learning_rate': 2.6500000000000004e-05, 'rewards/chosen': -0.010180091485381126, 'rewards/rejected': -0.00015611713752150536, 'rewards/accuracies': 0.375, 'rewards/margins': -0.010023974813520908, 'logps/rejected': -193.4725799560547, 'logps/chosen': -204.53121948242188, 'logits/rejected': 0.8415032625198364, 'logits/chosen': 0.8264428973197937, 'epoch': 0.03}
{'loss': 0.6864, 'learning_rate': 2.7000000000000002e-05, 'rewards/chosen': 0.003732752986252308, 'rewards/rejected': -0.010002422146499157, 'rewards/accuracies': 0.75, 'rewards/margins': 0.013735175132751465, 'logps/rejected': -147.07652282714844, 'logps/chosen': -226.46188354492188, 'logits/rejected': 1.0144261121749878, 'logits/chosen': 0.9267996549606323, 'epoch': 0.03}
{'loss': 0.7043, 'learning_rate': 2.7500000000000004e-05, 'rewards/chosen': -0.00833578035235405, 'rewards/rejected': 0.013606499880552292, 'rewards/accuracies': 0.375, 'rewards/margins': -0.02194228023290634, 'logps/rejected': -136.31629943847656, 'logps/chosen': -182.04054260253906, 'logits/rejected': 0.9127541184425354, 'logits/chosen': 0.9880063533782959, 'epoch': 0.03}
{'loss': 0.6896, 'learning_rate': 2.8000000000000003e-05, 'rewards/chosen': -0.011477804742753506, 'rewards/rejected': -0.019322993233799934, 'rewards/accuracies': 0.5, 'rewards/margins': 0.007845187559723854, 'logps/rejected': -184.21290588378906, 'logps/chosen': -257.3448486328125, 'logits/rejected': 1.0141407251358032, 'logits/chosen': 0.9243417978286743, 'epoch': 0.03}
{'loss': 0.6707, 'learning_rate': 2.8499999999999998e-05, 'rewards/chosen': 0.009994125925004482, 'rewards/rejected': -0.035806942731142044, 'rewards/accuracies': 0.875, 'rewards/margins': 0.0458010658621788, 'logps/rejected': -188.0105743408203, 'logps/chosen': -242.9378204345703, 'logits/rejected': 0.6654117703437805, 'logits/chosen': 0.8226999640464783, 'epoch': 0.04}
{'loss': 0.6974, 'learning_rate': 2.9e-05, 'rewards/chosen': -0.023162174969911575, 'rewards/rejected': -0.015077019110321999, 'rewards/accuracies': 0.5, 'rewards/margins': -0.008085153996944427, 'logps/rejected': -203.8070831298828, 'logps/chosen': -194.9702606201172, 'logits/rejected': 1.0598573684692383, 'logits/chosen': 1.0526313781738281, 'epoch': 0.04}
{'loss': 0.6897, 'learning_rate': 2.95e-05, 'rewards/chosen': 0.0035299304872751236, 'rewards/rejected': -0.004711831454187632, 'rewards/accuracies': 0.5, 'rewards/margins': 0.008241759613156319, 'logps/rejected': -177.62356567382812, 'logps/chosen': -397.422607421875, 'logits/rejected': 0.8810157775878906, 'logits/chosen': 0.951586902141571, 'epoch': 0.04}
{'loss': 0.6798, 'learning_rate': 3e-05, 'rewards/chosen': -0.0022741786669939756, 'rewards/rejected': -0.029861150309443474, 'rewards/accuracies': 0.5, 'rewards/margins': 0.02758697420358658, 'logps/rejected': -155.70639038085938, 'logps/chosen': -242.52056884765625, 'logits/rejected': 0.7501257658004761, 'logits/chosen': 0.6853152513504028, 'epoch': 0.04}
{'loss': 0.6767, 'learning_rate': 3.05e-05, 'rewards/chosen': 0.008917045779526234, 'rewards/rejected': -0.025330446660518646, 'rewards/accuracies': 0.625, 'rewards/margins': 0.0342474989593029, 'logps/rejected': -238.47166442871094, 'logps/chosen': -264.17626953125, 'logits/rejected': 0.7400836944580078, 'logits/chosen': 0.9945791959762573, 'epoch': 0.04}
{'loss': 0.6956, 'learning_rate': 3.1e-05, 'rewards/chosen': -0.007572507485747337, 'rewards/rejected': -0.0034232614561915398, 'rewards/accuracies': 0.625, 'rewards/margins': -0.004149246029555798, 'logps/rejected': -198.76995849609375, 'logps/chosen': -316.1816711425781, 'logits/rejected': 0.9995739459991455, 'logits/chosen': 1.0576316118240356, 'epoch': 0.04}
{'loss': 0.6743, 'learning_rate': 3.15e-05, 'rewards/chosen': 0.010965539142489433, 'rewards/rejected': -0.029164958745241165, 'rewards/accuracies': 0.75, 'rewards/margins': 0.04013049602508545, 'logps/rejected': -242.53921508789062, 'logps/chosen': -279.21270751953125, 'logits/rejected': 0.7823538184165955, 'logits/chosen': 0.996120810508728, 'epoch': 0.04}
{'loss': 0.6764, 'learning_rate': 3.2000000000000005e-05, 'rewards/chosen': 0.0074508897960186005, 'rewards/rejected': -0.027219485491514206, 'rewards/accuracies': 0.75, 'rewards/margins': 0.034670375287532806, 'logps/rejected': -214.18692016601562, 'logps/chosen': -148.9325714111328, 'logits/rejected': 1.0043150186538696, 'logits/chosen': 1.231966495513916, 'epoch': 0.04}
{'loss': 0.697, 'learning_rate': 3.2500000000000004e-05, 'rewards/chosen': -0.024111365899443626, 'rewards/rejected': -0.017761612311005592, 'rewards/accuracies': 0.5, 'rewards/margins': -0.006349755451083183, 'logps/rejected': -239.48768615722656, 'logps/chosen': -198.81417846679688, 'logits/rejected': 1.064292550086975, 'logits/chosen': 1.1222550868988037, 'epoch': 0.04}
{'loss': 0.6874, 'learning_rate': 3.3e-05, 'rewards/chosen': -0.006996536161750555, 'rewards/rejected': -0.019392775371670723, 'rewards/accuracies': 0.625, 'rewards/margins': 0.012396239675581455, 'logps/rejected': -368.88824462890625, 'logps/chosen': -384.14410400390625, 'logits/rejected': 0.8521325588226318, 'logits/chosen': 0.8767709136009216, 'epoch': 0.04}
{'loss': 0.6607, 'learning_rate': 3.35e-05, 'rewards/chosen': 0.01986861228942871, 'rewards/rejected': -0.04871034622192383, 'rewards/accuracies': 0.75, 'rewards/margins': 0.06857895851135254, 'logps/rejected': -244.89990234375, 'logps/chosen': -304.67352294921875, 'logits/rejected': 0.7715195417404175, 'logits/chosen': 0.9270222783088684, 'epoch': 0.04}
{'loss': 0.6862, 'learning_rate': 3.4000000000000007e-05, 'rewards/chosen': -0.007823611609637737, 'rewards/rejected': -0.022075345739722252, 'rewards/accuracies': 0.625, 'rewards/margins': 0.01425173319876194, 'logps/rejected': -142.762939453125, 'logps/chosen': -183.83041381835938, 'logits/rejected': 1.012574553489685, 'logits/chosen': 0.8391122817993164, 'epoch': 0.04}
{'loss': 0.6626, 'learning_rate': 3.45e-05, 'rewards/chosen': 0.005856252275407314, 'rewards/rejected': -0.05724353715777397, 'rewards/accuracies': 0.75, 'rewards/margins': 0.06309979408979416, 'logps/rejected': -235.9851837158203, 'logps/chosen': -302.65093994140625, 'logits/rejected': 0.7013154029846191, 'logits/chosen': 0.8351652026176453, 'epoch': 0.04}
{'loss': 0.6863, 'learning_rate': 3.5e-05, 'rewards/chosen': -0.023468589410185814, 'rewards/rejected': -0.03785822540521622, 'rewards/accuracies': 0.5, 'rewards/margins': 0.014389635063707829, 'logps/rejected': -185.24085998535156, 'logps/chosen': -185.13885498046875, 'logits/rejected': 0.8329483866691589, 'logits/chosen': 0.9138222932815552, 'epoch': 0.04}
