/home/ostrich/anaconda3/envs/my_master/lib/python3.9/site-packages/torch/utils/checkpoint.py:429: UserWarning: torch.utils.checkpoint: please pass in use_reentrant=True or use_reentrant=False explicitly. The default value of use_reentrant will be updated to be False in the future. To maintain current behavior, pass use_reentrant=True. It is recommended that you use use_reentrant=False. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
Could not estimate the number of tokens of the input, floating-point operations will not be computed
{'loss': 0.6898, 'learning_rate': 1.0000000000000002e-06, 'rewards/chosen': -0.0017918350640684366, 'rewards/rejected': -0.009317183867096901, 'rewards/accuracies': 0.5, 'rewards/margins': 0.007525348570197821, 'logps/rejected': -170.3253631591797, 'logps/chosen': -136.59890747070312, 'logits/rejected': 0.47662580013275146, 'logits/chosen': 0.6007204055786133, 'epoch': 0.0}
{'loss': 0.6582, 'learning_rate': 2e-05, 'rewards/chosen': 0.010849058628082275, 'rewards/rejected': -0.06276550889015198, 'rewards/accuracies': 0.75, 'rewards/margins': 0.07361456751823425, 'logps/rejected': -271.9667663574219, 'logps/chosen': -225.8511962890625, 'logits/rejected': 0.4725216031074524, 'logits/chosen': 0.598020613193512, 'epoch': 0.03}
{'loss': 0.6652, 'learning_rate': 2.1e-05, 'rewards/chosen': 0.014243842102587223, 'rewards/rejected': -0.04314015060663223, 'rewards/accuracies': 0.8125, 'rewards/margins': 0.05738399177789688, 'logps/rejected': -169.6256561279297, 'logps/chosen': -107.55995178222656, 'logits/rejected': 0.3359604775905609, 'logits/chosen': 0.6540254354476929, 'epoch': 0.03}
{'loss': 0.6792, 'learning_rate': 2.2000000000000003e-05, 'rewards/chosen': 0.00425673695281148, 'rewards/rejected': -0.02458862029016018, 'rewards/accuracies': 0.75, 'rewards/margins': 0.02884535677731037, 'logps/rejected': -156.53298950195312, 'logps/chosen': -167.0570068359375, 'logits/rejected': 0.46631312370300293, 'logits/chosen': 0.658582866191864, 'epoch': 0.03}
{'loss': 0.6539, 'learning_rate': 2.3000000000000003e-05, 'rewards/chosen': 0.01597757451236248, 'rewards/rejected': -0.06572593003511429, 'rewards/accuracies': 0.8125, 'rewards/margins': 0.08170349150896072, 'logps/rejected': -179.52537536621094, 'logps/chosen': -187.54196166992188, 'logits/rejected': 0.5101475119590759, 'logits/chosen': 0.7202483415603638, 'epoch': 0.03}
{'loss': 0.6558, 'learning_rate': 2.4e-05, 'rewards/chosen': 0.002643769606947899, 'rewards/rejected': -0.07573727518320084, 'rewards/accuracies': 0.75, 'rewards/margins': 0.07838104665279388, 'logps/rejected': -184.15342712402344, 'logps/chosen': -228.08287048339844, 'logits/rejected': 0.5383986234664917, 'logits/chosen': 0.6601228713989258, 'epoch': 0.03}
{'loss': 0.6539, 'learning_rate': 2.5e-05, 'rewards/chosen': 0.01640578731894493, 'rewards/rejected': -0.06909425556659698, 'rewards/accuracies': 0.8125, 'rewards/margins': 0.08550003916025162, 'logps/rejected': -250.720947265625, 'logps/chosen': -264.6365051269531, 'logits/rejected': 0.5006875395774841, 'logits/chosen': 0.5741830468177795, 'epoch': 0.03}
{'loss': 0.6449, 'learning_rate': 2.6000000000000002e-05, 'rewards/chosen': -0.00415419414639473, 'rewards/rejected': -0.10662686824798584, 'rewards/accuracies': 0.9375, 'rewards/margins': 0.10247267782688141, 'logps/rejected': -196.4498748779297, 'logps/chosen': -196.54403686523438, 'logits/rejected': 0.4400027096271515, 'logits/chosen': 0.6861656904220581, 'epoch': 0.03}
{'loss': 0.6833, 'learning_rate': 2.7000000000000002e-05, 'rewards/chosen': -0.031035438179969788, 'rewards/rejected': -0.05385899171233177, 'rewards/accuracies': 0.5625, 'rewards/margins': 0.022823557257652283, 'logps/rejected': -182.01153564453125, 'logps/chosen': -209.57955932617188, 'logits/rejected': 0.7055788636207581, 'logits/chosen': 0.5509478449821472, 'epoch': 0.03}
{'loss': 0.6485, 'learning_rate': 2.8000000000000003e-05, 'rewards/chosen': 0.0063021061941981316, 'rewards/rejected': -0.08690105378627777, 'rewards/accuracies': 0.8125, 'rewards/margins': 0.09320315718650818, 'logps/rejected': -178.374755859375, 'logps/chosen': -124.82879638671875, 'logits/rejected': 0.5707460045814514, 'logits/chosen': 0.6900827288627625, 'epoch': 0.04}
{'loss': 0.6361, 'learning_rate': 2.9e-05, 'rewards/chosen': 0.004373895935714245, 'rewards/rejected': -0.11786231398582458, 'rewards/accuracies': 0.8125, 'rewards/margins': 0.1222362220287323, 'logps/rejected': -185.08163452148438, 'logps/chosen': -138.05294799804688, 'logits/rejected': 0.8267887830734253, 'logits/chosen': 0.7489634156227112, 'epoch': 0.04}
{'loss': 0.6001, 'learning_rate': 3e-05, 'rewards/chosen': 0.041412003338336945, 'rewards/rejected': -0.16065090894699097, 'rewards/accuracies': 0.9375, 'rewards/margins': 0.20206288993358612, 'logps/rejected': -258.97198486328125, 'logps/chosen': -228.09971618652344, 'logits/rejected': 0.5961726307868958, 'logits/chosen': 0.7432801127433777, 'epoch': 0.04}
{'loss': 0.6317, 'learning_rate': 3.1e-05, 'rewards/chosen': -0.0057866815477609634, 'rewards/rejected': -0.13962632417678833, 'rewards/accuracies': 0.75, 'rewards/margins': 0.13383963704109192, 'logps/rejected': -228.76531982421875, 'logps/chosen': -181.81202697753906, 'logits/rejected': 0.5476441979408264, 'logits/chosen': 0.6901323795318604, 'epoch': 0.04}
{'loss': 0.6538, 'learning_rate': 3.2000000000000005e-05, 'rewards/chosen': -0.019854366779327393, 'rewards/rejected': -0.11063322424888611, 'rewards/accuracies': 0.75, 'rewards/margins': 0.09077886492013931, 'logps/rejected': -145.2199249267578, 'logps/chosen': -216.4099884033203, 'logits/rejected': 0.7379624843597412, 'logits/chosen': 0.6411336660385132, 'epoch': 0.04}
{'loss': 0.6542, 'learning_rate': 3.3e-05, 'rewards/chosen': -0.06175847351551056, 'rewards/rejected': -0.1547524631023407, 'rewards/accuracies': 0.75, 'rewards/margins': 0.09299398958683014, 'logps/rejected': -168.95828247070312, 'logps/chosen': -187.10940551757812, 'logits/rejected': 0.6872681379318237, 'logits/chosen': 0.7127132415771484, 'epoch': 0.04}
{'loss': 0.6338, 'learning_rate': 3.4000000000000007e-05, 'rewards/chosen': -0.02499767392873764, 'rewards/rejected': -0.17340855300426483, 'rewards/accuracies': 0.875, 'rewards/margins': 0.1484108865261078, 'logps/rejected': -174.82765197753906, 'logps/chosen': -153.795166015625, 'logits/rejected': 0.5537531971931458, 'logits/chosen': 0.5739893913269043, 'epoch': 0.04}
{'loss': 0.6153, 'learning_rate': 3.5e-05, 'rewards/chosen': 0.026045098900794983, 'rewards/rejected': -0.17406997084617615, 'rewards/accuracies': 0.875, 'rewards/margins': 0.20011506974697113, 'logps/rejected': -232.9935760498047, 'logps/chosen': -230.36631774902344, 'logits/rejected': 0.5345589518547058, 'logits/chosen': 0.7021127939224243, 'epoch': 0.05}
{'loss': 0.6168, 'learning_rate': 3.6e-05, 'rewards/chosen': -0.023577190935611725, 'rewards/rejected': -0.19693797826766968, 'rewards/accuracies': 0.8125, 'rewards/margins': 0.17336080968379974, 'logps/rejected': -131.178466796875, 'logps/chosen': -118.57145690917969, 'logits/rejected': 0.5824616551399231, 'logits/chosen': 0.7014992833137512, 'epoch': 0.05}
{'loss': 0.5978, 'learning_rate': 3.7e-05, 'rewards/chosen': 0.07452855259180069, 'rewards/rejected': -0.16769742965698242, 'rewards/accuracies': 0.8125, 'rewards/margins': 0.24222597479820251, 'logps/rejected': -193.21560668945312, 'logps/chosen': -245.41604614257812, 'logits/rejected': 0.4068019390106201, 'logits/chosen': 0.585401713848114, 'epoch': 0.05}
{'loss': 0.5565, 'learning_rate': 3.8e-05, 'rewards/chosen': 0.04602925106883049, 'rewards/rejected': -0.2856360971927643, 'rewards/accuracies': 0.875, 'rewards/margins': 0.33166539669036865, 'logps/rejected': -227.67959594726562, 'logps/chosen': -169.4771728515625, 'logits/rejected': 0.5977980494499207, 'logits/chosen': 0.7059504985809326, 'epoch': 0.05}
{'loss': 0.5798, 'learning_rate': 3.9000000000000006e-05, 'rewards/chosen': -0.014692328870296478, 'rewards/rejected': -0.3046472668647766, 'rewards/accuracies': 0.875, 'rewards/margins': 0.28995493054389954, 'logps/rejected': -164.60479736328125, 'logps/chosen': -220.35682678222656, 'logits/rejected': 0.5181109309196472, 'logits/chosen': 0.7667226791381836, 'epoch': 0.05}
{'loss': 0.5668, 'learning_rate': 4e-05, 'rewards/chosen': -0.004545249044895172, 'rewards/rejected': -0.328008770942688, 'rewards/accuracies': 0.8125, 'rewards/margins': 0.323463499546051, 'logps/rejected': -222.29981994628906, 'logps/chosen': -217.4224090576172, 'logits/rejected': 0.6396098732948303, 'logits/chosen': 0.49153080582618713, 'epoch': 0.05}
{'loss': 0.5523, 'learning_rate': 4.1e-05, 'rewards/chosen': -0.043266624212265015, 'rewards/rejected': -0.4351630210876465, 'rewards/accuracies': 0.8125, 'rewards/margins': 0.39189642667770386, 'logps/rejected': -209.26803588867188, 'logps/chosen': -216.98870849609375, 'logits/rejected': 0.5300316214561462, 'logits/chosen': 0.44769033789634705, 'epoch': 0.05}
{'loss': 0.5014, 'learning_rate': 4.2e-05, 'rewards/chosen': 0.09222352504730225, 'rewards/rejected': -0.36777833104133606, 'rewards/accuracies': 0.9375, 'rewards/margins': 0.4600018560886383, 'logps/rejected': -192.20921325683594, 'logps/chosen': -169.6344451904297, 'logits/rejected': 0.6393293738365173, 'logits/chosen': 0.5463487505912781, 'epoch': 0.05}
{'loss': 0.4841, 'learning_rate': 4.3e-05, 'rewards/chosen': 0.10331311076879501, 'rewards/rejected': -0.49969208240509033, 'rewards/accuracies': 0.75, 'rewards/margins': 0.6030052304267883, 'logps/rejected': -303.3642578125, 'logps/chosen': -443.4118347167969, 'logits/rejected': 0.44468697905540466, 'logits/chosen': 0.8161606788635254, 'epoch': 0.06}
{'loss': 0.6379, 'learning_rate': 4.4000000000000006e-05, 'rewards/chosen': -0.0352916494011879, 'rewards/rejected': -0.2734455168247223, 'rewards/accuracies': 0.75, 'rewards/margins': 0.238153874874115, 'logps/rejected': -285.5482482910156, 'logps/chosen': -187.14601135253906, 'logits/rejected': 0.5081973671913147, 'logits/chosen': 0.5314071178436279, 'epoch': 0.06}
{'loss': 0.5781, 'learning_rate': 4.5e-05, 'rewards/chosen': -0.15747670829296112, 'rewards/rejected': -0.5816324353218079, 'rewards/accuracies': 0.875, 'rewards/margins': 0.4241558015346527, 'logps/rejected': -197.69717407226562, 'logps/chosen': -167.22784423828125, 'logits/rejected': 0.3902610242366791, 'logits/chosen': 0.5362083315849304, 'epoch': 0.06}
{'loss': 0.5102, 'learning_rate': 4.600000000000001e-05, 'rewards/chosen': 0.03813610225915909, 'rewards/rejected': -0.4553453326225281, 'rewards/accuracies': 0.875, 'rewards/margins': 0.49348145723342896, 'logps/rejected': -185.4510955810547, 'logps/chosen': -169.00711059570312, 'logits/rejected': 0.7126959562301636, 'logits/chosen': 0.7154724597930908, 'epoch': 0.06}
{'loss': 0.6487, 'learning_rate': 4.7e-05, 'rewards/chosen': -0.14663638174533844, 'rewards/rejected': -0.3840946555137634, 'rewards/accuracies': 0.8125, 'rewards/margins': 0.2374582290649414, 'logps/rejected': -220.05970764160156, 'logps/chosen': -250.68040466308594, 'logits/rejected': 0.7924270629882812, 'logits/chosen': 0.7055061459541321, 'epoch': 0.06}
{'loss': 0.5766, 'learning_rate': 4.8e-05, 'rewards/chosen': -0.07650226354598999, 'rewards/rejected': -0.47080332040786743, 'rewards/accuracies': 0.8125, 'rewards/margins': 0.39430105686187744, 'logps/rejected': -198.3492431640625, 'logps/chosen': -155.99560546875, 'logits/rejected': 0.6334860324859619, 'logits/chosen': 0.8505998253822327, 'epoch': 0.06}
{'loss': 0.6028, 'learning_rate': 4.9e-05, 'rewards/chosen': -0.13120903074741364, 'rewards/rejected': -0.6465247869491577, 'rewards/accuracies': 0.75, 'rewards/margins': 0.51531583070755, 'logps/rejected': -207.66787719726562, 'logps/chosen': -257.2838439941406, 'logits/rejected': 0.7545610666275024, 'logits/chosen': 0.8665605783462524, 'epoch': 0.06}
{'loss': 0.4062, 'learning_rate': 5e-05, 'rewards/chosen': 0.10232646763324738, 'rewards/rejected': -0.7104750871658325, 'rewards/accuracies': 0.9375, 'rewards/margins': 0.8128014802932739, 'logps/rejected': -253.83299255371094, 'logps/chosen': -220.2122039794922, 'logits/rejected': 0.7170206308364868, 'logits/chosen': 0.6534168720245361, 'epoch': 0.06}
{'loss': 0.4, 'learning_rate': 4.999451708687114e-05, 'rewards/chosen': 0.042311444878578186, 'rewards/rejected': -0.7494316697120667, 'rewards/accuracies': 1.0, 'rewards/margins': 0.7917430996894836, 'logps/rejected': -201.2005615234375, 'logps/chosen': -175.2184295654297, 'logits/rejected': 0.43139249086380005, 'logits/chosen': 0.6715914607048035, 'epoch': 0.07}
{'loss': 0.4846, 'learning_rate': 4.997807075247146e-05, 'rewards/chosen': -0.1185130625963211, 'rewards/rejected': -0.914345920085907, 'rewards/accuracies': 0.875, 'rewards/margins': 0.7958329916000366, 'logps/rejected': -244.2029266357422, 'logps/chosen': -186.81370544433594, 'logits/rejected': 0.7513102293014526, 'logits/chosen': 0.8532692790031433, 'epoch': 0.07}
{'loss': 0.4115, 'learning_rate': 4.995066821070679e-05, 'rewards/chosen': 0.10427503287792206, 'rewards/rejected': -0.8845375776290894, 'rewards/accuracies': 0.8125, 'rewards/margins': 0.9888126254081726, 'logps/rejected': -255.37477111816406, 'logps/chosen': -215.69496154785156, 'logits/rejected': 0.5227895975112915, 'logits/chosen': 0.8398510217666626, 'epoch': 0.07}
{'loss': 0.4239, 'learning_rate': 4.991232148123761e-05, 'rewards/chosen': 0.029896900057792664, 'rewards/rejected': -1.0258651971817017, 'rewards/accuracies': 0.875, 'rewards/margins': 1.0557621717453003, 'logps/rejected': -232.2643585205078, 'logps/chosen': -239.39071655273438, 'logits/rejected': 0.46387046575546265, 'logits/chosen': 0.7489976286888123, 'epoch': 0.07}
{'loss': 0.3259, 'learning_rate': 4.9863047384206835e-05, 'rewards/chosen': 0.10279558598995209, 'rewards/rejected': -1.215721607208252, 'rewards/accuracies': 0.9375, 'rewards/margins': 1.3185172080993652, 'logps/rejected': -212.83421325683594, 'logps/chosen': -211.88272094726562, 'logits/rejected': 0.6161745190620422, 'logits/chosen': 0.854608952999115, 'epoch': 0.07}
{'loss': 0.5994, 'learning_rate': 4.980286753286195e-05, 'rewards/chosen': -0.25327685475349426, 'rewards/rejected': -0.8713012933731079, 'rewards/accuracies': 0.875, 'rewards/margins': 0.6180245280265808, 'logps/rejected': -198.83837890625, 'logps/chosen': -204.1243133544922, 'logits/rejected': 0.5708632469177246, 'logits/chosen': 0.6117358207702637, 'epoch': 0.07}
{'loss': 0.284, 'learning_rate': 4.9731808324074717e-05, 'rewards/chosen': 0.036569949239492416, 'rewards/rejected': -1.2916688919067383, 'rewards/accuracies': 1.0, 'rewards/margins': 1.3282389640808105, 'logps/rejected': -167.94178771972656, 'logps/chosen': -136.0222930908203, 'logits/rejected': 0.7640005946159363, 'logits/chosen': 0.8721651434898376, 'epoch': 0.07}
{'loss': 0.4887, 'learning_rate': 4.964990092676263e-05, 'rewards/chosen': 0.012339246459305286, 'rewards/rejected': -1.143908143043518, 'rewards/accuracies': 0.8125, 'rewards/margins': 1.1562473773956299, 'logps/rejected': -199.44876098632812, 'logps/chosen': -219.89715576171875, 'logits/rejected': 0.7452430725097656, 'logits/chosen': 0.6958979368209839, 'epoch': 0.07}
{'loss': 0.409, 'learning_rate': 4.9557181268217227e-05, 'rewards/chosen': 0.023891068994998932, 'rewards/rejected': -1.1792038679122925, 'rewards/accuracies': 0.875, 'rewards/margins': 1.2030949592590332, 'logps/rejected': -212.44815063476562, 'logps/chosen': -313.1009521484375, 'logits/rejected': 0.6270634531974792, 'logits/chosen': 0.7440264225006104, 'epoch': 0.08}
{'loss': 0.3865, 'learning_rate': 4.9453690018345144e-05, 'rewards/chosen': 0.04626796394586563, 'rewards/rejected': -1.1506166458129883, 'rewards/accuracies': 0.9375, 'rewards/margins': 1.1968847513198853, 'logps/rejected': -195.21131896972656, 'logps/chosen': -205.06732177734375, 'logits/rejected': 0.9959441423416138, 'logits/chosen': 0.7796595096588135, 'epoch': 0.08}
{'loss': 0.4473, 'learning_rate': 4.933947257182901e-05, 'rewards/chosen': -0.08015678822994232, 'rewards/rejected': -1.029983401298523, 'rewards/accuracies': 0.9375, 'rewards/margins': 0.9498265385627747, 'logps/rejected': -192.9729461669922, 'logps/chosen': -214.00428771972656, 'logits/rejected': 0.6726781129837036, 'logits/chosen': 0.7608931660652161, 'epoch': 0.08}
{'loss': 0.2226, 'learning_rate': 4.9214579028215776e-05, 'rewards/chosen': -0.09129901975393295, 'rewards/rejected': -1.7477041482925415, 'rewards/accuracies': 1.0, 'rewards/margins': 1.6564052104949951, 'logps/rejected': -233.1222381591797, 'logps/chosen': -132.03125, 'logits/rejected': 0.853648841381073, 'logits/chosen': 0.9581493735313416, 'epoch': 0.08}
{'loss': 0.2899, 'learning_rate': 4.907906416994146e-05, 'rewards/chosen': -0.3501839339733124, 'rewards/rejected': -1.9477810859680176, 'rewards/accuracies': 0.9375, 'rewards/margins': 1.5975972414016724, 'logps/rejected': -278.3817443847656, 'logps/chosen': -365.7708740234375, 'logits/rejected': 0.6936665773391724, 'logits/chosen': 0.9062733054161072, 'epoch': 0.08}
{'loss': 0.3367, 'learning_rate': 4.893298743830168e-05, 'rewards/chosen': -0.1707683950662613, 'rewards/rejected': -1.808873176574707, 'rewards/accuracies': 0.875, 'rewards/margins': 1.6381045579910278, 'logps/rejected': -250.8443145751953, 'logps/chosen': -229.30050659179688, 'logits/rejected': 0.7307611703872681, 'logits/chosen': 0.6660304069519043, 'epoch': 0.08}
{'loss': 0.4855, 'learning_rate': 4.877641290737884e-05, 'rewards/chosen': -0.21464884281158447, 'rewards/rejected': -1.6651800870895386, 'rewards/accuracies': 0.8125, 'rewards/margins': 1.450531244277954, 'logps/rejected': -154.5041046142578, 'logps/chosen': -144.27133178710938, 'logits/rejected': 0.873308002948761, 'logits/chosen': 0.8673318028450012, 'epoch': 0.08}
{'loss': 0.4076, 'learning_rate': 4.860940925593703e-05, 'rewards/chosen': -0.23197142779827118, 'rewards/rejected': -1.9354135990142822, 'rewards/accuracies': 0.875, 'rewards/margins': 1.7034422159194946, 'logps/rejected': -252.82516479492188, 'logps/chosen': -227.8649444580078, 'logits/rejected': 0.8449410200119019, 'logits/chosen': 0.8932269811630249, 'epoch': 0.09}
{'loss': 0.2075, 'learning_rate': 4.843204973729729e-05, 'rewards/chosen': -0.05855146050453186, 'rewards/rejected': -1.9158192873001099, 'rewards/accuracies': 1.0, 'rewards/margins': 1.8572678565979004, 'logps/rejected': -183.30458068847656, 'logps/chosen': -185.11907958984375, 'logits/rejected': 0.7162291407585144, 'logits/chosen': 0.7306146621704102, 'epoch': 0.09}
{'loss': 0.2911, 'learning_rate': 4.8244412147206284e-05, 'rewards/chosen': -0.5299867987632751, 'rewards/rejected': -2.5435168743133545, 'rewards/accuracies': 0.9375, 'rewards/margins': 2.0135297775268555, 'logps/rejected': -236.64898681640625, 'logps/chosen': -176.76034545898438, 'logits/rejected': 0.7267067432403564, 'logits/chosen': 0.9528472423553467, 'epoch': 0.09}
{'loss': 0.762, 'learning_rate': 4.8046578789712515e-05, 'rewards/chosen': -0.7471539974212646, 'rewards/rejected': -1.7729524374008179, 'rewards/accuracies': 0.8125, 'rewards/margins': 1.0257985591888428, 'logps/rejected': -223.02818298339844, 'logps/chosen': -274.10205078125, 'logits/rejected': 0.8966856002807617, 'logits/chosen': 0.9062690734863281, 'epoch': 0.09}
{'loss': 0.3069, 'learning_rate': 4.783863644106502e-05, 'rewards/chosen': -0.31714949011802673, 'rewards/rejected': -2.1910674571990967, 'rewards/accuracies': 0.9375, 'rewards/margins': 1.8739176988601685, 'logps/rejected': -205.88436889648438, 'logps/chosen': -160.76583862304688, 'logits/rejected': 0.7436274290084839, 'logits/chosen': 0.9778309464454651, 'epoch': 0.09}
